"","Date","Stock","Values"
"218",1997-02-28,12060,-0.009939
"219",1997-03-31,12060,-0.034482
"220",1997-04-30,12060,0.114088
"221",1997-05-30,12060,0.082938
"222",1997-06-30,12060,0.072905
"223",1997-07-31,12060,0.078546
"224",1997-08-29,12060,-0.111943
"225",1997-09-30,12060,0.087668
"226",1997-10-31,12060,-0.054705
"227",1997-11-28,12060,0.139233
"228",1997-12-31,12060,-0.007507
"229",1997-01-31,12431,0.020781
"230",1997-02-28,12431,0.041689
"231",1997-03-31,12431,-0.085879
"232",1997-04-30,12431,0.121774
"233",1997-05-30,12431,0.111232
"234",1997-06-30,12431,0.126735
"235",1997-07-31,12431,0.097927
"236",1997-08-29,12431,-0.117415
"237",1997-09-30,12431,0.069924
"238",1997-10-31,12431,-0.099991
"239",1997-11-28,12431,0.049712
"240",1997-12-31,12431,-0.013974
"241",1997-01-31,12490,0.030979
"242",1997-02-28,12490,-0.085334
"243",1997-03-31,12490,-0.049517
"244",1997-04-30,12490,0.165099
"245",1997-05-30,12490,0.075474
"246",1997-06-30,12490,0.039653
"247",1997-07-31,12490,0.167445
"248",1997-08-29,12490,-0.04358
"249",1997-09-30,12490,0.041223
"250",1997-10-31,12490,-0.074955
"251",1997-11-28,12490,0.109806
"252",1997-12-31,12490,-0.049321
"253",1997-01-31,12570,0.026112
"254",1997-02-28,12570,0.031744
"255",1997-03-31,12570,-0.143723
"256",1997-04-30,12570,0.124192
"257",1997-05-30,12570,-0.018761
"258",1997-06-30,12570,0.036704
"259",1997-07-31,12570,0.095215
"260",1997-08-29,12570,0.113781
"261",1997-09-30,12570,0.049171
"262",1997-10-31,12570,-0.053164
"263",1997-11-28,12570,0.006793
"264",1997-12-31,12570,-0.016611
"265",1997-01-31,12650,0.087167
"266",1997-02-28,12650,0.066838
"267",1997-03-31,12650,-0.051919
"268",1997-04-30,12650,0.0257
"269",1997-05-30,12650,0.062576
"270",1997-06-30,12650,0.171699
"271",1997-07-31,12650,0.164305
"272",1997-08-29,12650,-0.009141
"273",1997-09-30,12650,0.3754
"274",1997-10-31,12650,-0.118538
"275",1997-11-28,12650,0.009707
"276",1997-12-31,12650,0.02354
"277",1997-01-31,12781,-0.009681
"278",1997-02-28,12781,-0.040358
"279",1997-03-31,12781,-0.087543
"280",1997-04-30,12781,0.061568
"281",1997-05-30,12781,-0.03299
"282",1997-06-30,12781,0.017109
"283",1997-07-31,12781,0.07616
"284",1997-08-29,12781,0.035794
"285",1997-09-30,12781,0.003784
"286",1997-10-31,12781,0.021507
"287",1997-11-28,12781,0.031188
"288",1997-12-31,12781,0.095152
"289",1997-01-31,13303,0.098948
"290",1997-02-28,13303,-0.055983
"291",1997-03-31,13303,-0.125179
"292",1997-04-30,13303,-0.0543
"293",1997-05-30,13303,0.337205
"294",1997-06-30,13303,0.133555
"295",1997-07-31,13303,-0.090507
"296",1997-08-29,13303,-0.0041
"297",1997-09-30,13303,0.203147
"298",1997-10-31,13303,0.011425
"299",1997-11-28,13303,-0.007746
"300",1997-12-31,13303,-0.163101
"301",1997-01-31,13507,0.019229
"302",1997-02-28,13507,0.088815
"303",1997-03-31,13507,-0.047936
"304",1997-04-30,13507,-0.013885
"305",1997-05-30,13507,0.069294
"306",1997-06-30,13507,0.07618
"307",1997-07-31,13507,0.102143
"308",1997-08-29,13507,-0.021822
"309",1997-09-30,13507,0.043538
"310",1997-10-31,13507,-0.053705
"311",1997-11-28,13507,0.001308
"312",1997-12-31,13507,-0.034126
"313",1997-01-31,13610,0.011549
"314",1997-02-28,13610,0.096441
"315",1997-03-31,13610,-0.01055
"316",1997-04-30,13610,0.030291
"317",1997-05-30,13610,-0.000645
"318",1997-06-30,13610,-0.050956
"319",1997-07-31,13610,0.0805
"320",1997-08-29,13610,0.053127
"321",1997-09-30,13610,0.047566
"322",1997-10-31,13610,-0.033572
"323",1997-11-28,13610,0.092111
"324",1997-12-31,13610,-0.05783
"325",1997-01-31,13688,0.084786
"326",1997-02-28,13688,0.001564
"327",1997-03-31,13688,0.030483
"328",1997-04-30,13688,0.016977
"329",1997-05-30,13688,-0.041358
"330",1997-06-30,13688,0.057922
"331",1997-07-31,13688,0.018896
"332",1997-08-29,13688,-0.07211
"333",1997-09-30,13688,0.011276
"334",1997-10-31,13688,0.098226
"335",1997-11-28,13688,0.101234
"336",1997-12-31,13688,0.078828
"337",1997-01-31,13856,0.187808
"338",1997-02-28,13856,-0.057663
"339",1997-03-31,13856,-0.019755
"340",1997-04-30,13856,0.07292
"341",1997-05-30,13856,0.048863
"342",1997-06-30,13856,0.02181
"343",1997-07-31,13856,0.014003
"344",1997-08-29,13856,-0.062924
"345",1997-09-30,13856,0.125808
"346",1997-10-31,13856,-0.020769
"347",1997-11-28,13856,-0.0039
"348",1997-12-31,13856,-0.018359
"349",1997-01-31,13901,0.047491
"350",1997-02-28,13901,0.13385
"351",1997-03-31,13901,-0.15162
"352",1997-04-30,13901,0.030749
"353",1997-05-30,13901,0.11256
"354",1997-06-30,13901,0.011073
"355",1997-07-31,13901,0.015474
"356",1997-08-29,13901,-0.035956
"357",1997-09-30,13901,-0.043885
"358",1997-10-31,13901,-0.050817
"359",1997-11-28,13901,0.093892
"360",1997-12-31,13901,0.044625
"361",1997-01-31,13928,-9.30000000000002e-05
"362",1997-02-28,13928,-0.066223
"363",1997-03-31,13928,-0.016385
"364",1997-04-30,13928,-0.032679
"365",1997-05-30,13928,0.074465
"366",1997-06-30,13928,0.025712
"367",1997-07-31,13928,0.056329
"368",1997-08-29,13928,0.028464
"369",1997-09-30,13928,0.081014
"370",1997-10-31,13928,-0.060568
"371",1997-11-28,13928,-0.002608
"372",1997-12-31,13928,-0.000929
"373",1997-01-31,13936,-0.06537
"374",1997-02-28,13936,-0.059456
"375",1997-03-31,13936,-0.069986
"376",1997-04-30,13936,0.100963
"377",1997-05-30,13936,0.061767
"378",1997-06-30,13936,0.070407
"379",1997-07-31,13936,-0.070967
"380",1997-08-29,13936,0.025364
"381",1997-09-30,13936,0.0956
"382",1997-10-31,13936,-0.103014
"383",1997-11-28,13936,-0.036356
"384",1997-12-31,13936,0.031564
"385",1997-01-31,13987,0.013044
"386",1997-02-28,13987,0.047824
"387",1997-03-31,13987,-0.044628
"388",1997-04-30,13987,-0.012996
"389",1997-05-30,13987,-0.013672
"390",1997-06-30,13987,0.051521
"391",1997-07-31,13987,-0.012847
"392",1997-08-29,13987,0.021762
"393",1997-09-30,13987,-0.028938
"394",1997-10-31,13987,-0.021744
"395",1997-11-28,13987,0.094314
"396",1997-12-31,13987,-0.010979
"397",1997-01-31,14198,-0.053007
"398",1997-02-28,14198,0.107473
