Date,Stock,Values
31/07/1997,13936,0.008922614
29/08/1997,13936,0.008965083
30/09/1997,13936,0.008675187
31/10/1997,13936,0.009017503
28/11/1997,13936,0.00870962
31/12/1997,13936,0.008273238
31/01/1997,13987,0.008731008
28/02/1997,13987,0.008785687
31/03/1997,13987,0.008783923
30/04/1997,13987,0.00879981
30/05/1997,13987,0.008742483
30/06/1997,13987,0.008781024
31/07/1997,13987,0.008958276
29/08/1997,13987,0.008725295
30/09/1997,13987,0.008886898
31/10/1997,13987,0.008902486
28/11/1997,13987,0.008617887
31/12/1997,13987,0.009482954
31/01/1997,14198,0.008541667
28/02/1997,14198,0.009123151
31/03/1997,14198,0.008594277
30/04/1997,14198,0.008718233
30/05/1997,14198,0.008760714
30/06/1997,14198,0.008825399
31/07/1997,14198,0.008675119
29/08/1997,14198,0.009004361
30/09/1997,14198,0.008619888
31/10/1997,14198,0.009092533
28/11/1997,14198,0.008902631
31/12/1997,14198,0.009865138
31/01/1997,14277,0.00880034
28/02/1997,14277,0.00862119
31/03/1997,14277,0.008720721
30/04/1997,14277,0.008820591
30/05/1997,14277,0.008784631
30/06/1997,14277,0.008812932
31/07/1997,14277,0.008970292
29/08/1997,14277,0.008917505
30/09/1997,14277,0.009076648
31/10/1997,14277,0.008686049
28/11/1997,14277,0.008656488
31/12/1997,14277,0.008165311
31/01/1997,14526,0.008546057
28/02/1997,14526,0.009004569
31/03/1997,14526,0.008944389
30/04/1997,14526,0.008722474
30/05/1997,14526,0.008765185
30/06/1997,14526,0.00868135
31/07/1997,14526,0.00896389
29/08/1997,14526,0.008737416
30/09/1997,14526,0.008870279
31/10/1997,14526,0.008886938
28/11/1997,14526,0.00889655
31/12/1997,14526,0.008057792
31/01/1997,14541,0.008803529
28/02/1997,14541,0.009092343
31/03/1997,14541,0.009007398
30/04/1997,14541,0.008905391
30/05/1997,14541,0.008861308
30/06/1997,14541,0.008693047
31/07/1997,14541,0.008828777
29/08/1997,14541,0.008739731
30/09/1997,14541,0.008836065
31/10/1997,14541,0.008609758
28/11/1997,14541,0.008725029
31/12/1997,14541,0.008722643
31/01/1997,14702,0.008903517
28/02/1997,14702,0.008940327
31/03/1997,14702,0.008918646
30/04/1997,14702,0.0088222
30/05/1997,14702,0.008759838
30/06/1997,14702,0.008905065
31/07/1997,14702,0.008942619
29/08/1997,14702,0.008593681
30/09/1997,14702,0.008627062
31/10/1997,14702,0.008919482
28/11/1997,14702,0.008879593
31/12/1997,14702,0.008701132
31/01/1997,14752,0.008695449
28/02/1997,14752,0.008664814
31/03/1997,14752,0.008844729
30/04/1997,14752,0.0087483
30/05/1997,14752,0.008887341
30/06/1997,14752,0.008912627
31/07/1997,14752,0.008796172
29/08/1997,14752,0.00875732
30/09/1997,14752,0.008826384
31/10/1997,14752,0.008794151
28/11/1997,14752,0.008980786
31/12/1997,14752,0.008999922
31/01/1997,14795,0.008984396
28/02/1997,14795,0.008874656
31/03/1997,14795,0.00882772
30/04/1997,14795,0.008724343
30/05/1997,14795,0.008727289
30/06/1997,14795,0.008789954
31/07/1997,14795,0.008548211
29/08/1997,14795,0.008726556
30/09/1997,14795,0.00889609
31/10/1997,14795,0.008657008
28/11/1997,14795,0.008785143
31/12/1997,14795,0.008976003
31/01/1997,14816,0.008839662
28/02/1997,14816,0.008750385
31/03/1997,14816,0.008960896
30/04/1997,14816,0.00877469
30/05/1997,14816,0.008965204
30/06/1997,14816,0.008931007
31/07/1997,14816,0.008722977
29/08/1997,14816,0.009028998
30/09/1997,14816,0.008622421
31/10/1997,14816,0.008892879
28/11/1997,14816,0.00893249
31/12/1997,14816,0.009256562
31/01/1997,15069,0.008892582
28/02/1997,15069,0.008875902
31/03/1997,15069,0.008996877
30/04/1997,15069,0.008715021
30/05/1997,15069,0.00891985
30/06/1997,15069,0.008736206
31/07/1997,15069,0.008986141
29/08/1997,15069,0.008830341
30/09/1997,15069,0.009145788
31/10/1997,15069,0.008709366
28/11/1997,15069,0.008663164
31/12/1997,15069,0.00899974
31/01/1997,15202,0.008788388
28/02/1997,15202,0.008693494
31/03/1997,15202,0.009231581
30/04/1997,15202,0.008563386
30/05/1997,15202,0.008861122
30/06/1997,15202,0.009001294
31/07/1997,15202,0.008895216
29/08/1997,15202,0.009202074
30/09/1997,15202,0.008883346
31/10/1997,15202,0.008788566
28/11/1997,15202,0.008963575
31/12/1997,15202,0.008948619
31/01/1997,15203,0.00885455
28/02/1997,15203,0.00921848
31/03/1997,15203,0.009038461
30/04/1997,15203,0.008889832
30/05/1997,15203,0.008762683
30/06/1997,15203,0.008911873
31/07/1997,15203,0.008782941
29/08/1997,15203,0.008512327
30/09/1997,15203,0.008975192
31/10/1997,15203,0.008867434
28/11/1997,15203,0.008752581
31/12/1997,15203,0.009162239
31/01/1997,15456,0.008969161
28/02/1997,15456,0.008638302
31/03/1997,15456,0.009128776
30/04/1997,15456,0.009423013
30/05/1997,15456,0.00897295
30/06/1997,15456,0.008789748
31/07/1997,15456,0.00895991
29/08/1997,15456,0.008753683
30/09/1997,15456,0.009123468
31/10/1997,15456,0.008924319
28/11/1997,15456,0.008833013
31/12/1997,15456,0.008615118
31/01/1997,15579,0.008971067
28/02/1997,15579,0.008672775
31/03/1997,15579,0.009043751
30/04/1997,15579,0.008909875
30/05/1997,15579,0.008875658
30/06/1997,15579,0.008933638
31/07/1997,15579,0.008934547
29/08/1997,15579,0.008887079
30/09/1997,15579,0.009021561
31/10/1997,15579,0.008846517
28/11/1997,15579,0.008943863
31/12/1997,15579,0.009152008
31/01/1997,15580,0.008710406
28/02/1997,15580,0.008920876
31/03/1997,15580,0.008853306
30/04/1997,15580,0.009170519
30/05/1997,15580,0.008982635
30/06/1997,15580,0.008937954
31/07/1997,15580,0.008698338
29/08/1997,15580,0.008713711
30/09/1997,15580,0.008967861
31/10/1997,15580,0.008996948
28/11/1997,15580,0.008858436
31/12/1997,15580,0.009218545
31/01/1997,15720,0.009398762
28/02/1997,15720,0.009117917
31/03/1997,15720,0.008944631
30/04/1997,15720,0.008829331
30/05/1997,15720,0.008906218
30/06/1997,15720,0.008903175
31/07/1997,15720,0.008780826
29/08/1997,15720,0.00905714
30/09/1997,15720,0.009182069
31/10/1997,15720,0.008931489
28/11/1997,15720,0.008975983
31/12/1997,15720,0.009031889
31/01/1997,15721,0.009003533
28/02/1997,15721,0.008975481
31/03/1997,15721,0.008980819
30/04/1997,15721,0.008898778
30/05/1997,15721,0.008963224
30/06/1997,15721,0.009038826
31/07/1997,15721,0.008928998
29/08/1997,15721,0.008926757
30/09/1997,15721,0.008924314
31/10/1997,15721,0.009093541
28/11/1997,15721,0.00922438
31/12/1997,15721,0.009201519
31/01/1997,16126,0.009188971
28/02/1997,16126,0.008947218
31/03/1997,16126,0.009108851
30/04/1997,16126,0.008822713
30/05/1997,16126,0.0090135
30/06/1997,16126,0.008961606
31/07/1997,16126,0.008863503
29/08/1997,16126,0.008951747
30/09/1997,16126,0.008788019
31/10/1997,16126,0.00925565
28/11/1997,16126,0.008825301
31/12/1997,16126,0.00884039
31/01/1997,16417,0.008792203
28/02/1997,16417,0.008749452
31/03/1997,16417,0.008989899
30/04/1997,16417,0.009056099
30/05/1997,16417,0.008958057
30/06/1997,16417,0.008885651
31/07/1997,16417,0.00868328
29/08/1997,16417,0.00865671
30/09/1997,16417,0.009019252
31/10/1997,16417,0.009016905
28/11/1997,16417,0.00902324
31/12/1997,16417,0.009722435
31/01/1997,16432,0.008928558
28/02/1997,16432,0.009199068
31/03/1997,16432,0.008912963
30/04/1997,16432,0.008783493
30/05/1997,16432,0.008976902
30/06/1997,16432,0.008963299
31/07/1997,16432,0.008904176
29/08/1997,16432,0.009001648
30/09/1997,16432,0.0091513
31/10/1997,16432,0.008889576
28/11/1997,16432,0.008806046
31/12/1997,16432,0.008640283
31/01/1997,16505,0.008962174
28/02/1997,16505,0.008868826
31/03/1997,16505,0.008743344
30/04/1997,16505,0.009122884
30/05/1997,16505,0.00898012
30/06/1997,16505,0.008788215
31/07/1997,16505,0.008828855
29/08/1997,16505,0.008728464
30/09/1997,16505,0.009109362
31/10/1997,16505,0.008901377
28/11/1997,16505,0.008990999
31/12/1997,16505,0.008293538
31/01/1997,16548,0.009007456
28/02/1997,16548,0.008844701
31/03/1997,16548,0.008937452
30/04/1997,16548,0.009078827
30/05/1997,16548,0.00894172
30/06/1997,16548,0.009010766
31/07/1997,16548,0.008920771
29/08/1997,16548,0.009045565
30/09/1997,16548,0.009085895
31/10/1997,16548,0.009155225
28/11/1997,16548,0.008894227
31/12/1997,16548,0.008447681
31/01/1997,16555,0.008986574
28/02/1997,16555,0.00907604
31/03/1997,16555,0.009042489
30/04/1997,16555,0.008989953
30/05/1997,16555,0.009013732
30/06/1997,16555,0.009010028
31/07/1997,16555,0.009160945
29/08/1997,16555,0.009113797
30/09/1997,16555,0.008911014
31/10/1997,16555,0.008940842
28/11/1997,16555,0.008969921
31/12/1997,16555,0.0099224
31/01/1997,16600,0.008835553
28/02/1997,16600,0.008831702
31/03/1997,16600,0.009188675
30/04/1997,16600,0.008956337
30/05/1997,16600,0.009077893
30/06/1997,16600,0.009029205
31/07/1997,16600,0.008885024
29/08/1997,16600,0.009117661
30/09/1997,16600,0.009357142
31/10/1997,16600,0.008866011
28/11/1997,16600,0.008971021
31/12/1997,16600,0.00887539
31/01/1997,16678,0.00895552
28/02/1997,16678,0.008629727
31/03/1997,16678,0.008994771
30/04/1997,16678,0.008901953
30/05/1997,16678,0.00886586
30/06/1997,16678,0.008819073
31/07/1997,16678,0.009107807
29/08/1997,16678,0.008884628
30/09/1997,16678,0.00902061
31/10/1997,16678,0.009065343
28/11/1997,16678,0.008896003
31/12/1997,16678,0.008086304
31/01/1997,17005,0.009130892
28/02/1997,17005,0.009130298
31/03/1997,17005,0.009223332
30/04/1997,17005,0.008828899
30/05/1997,17005,0.009171429
30/06/1997,17005,0.008911182
31/07/1997,17005,0.009114048
29/08/1997,17005,0.008983702
30/09/1997,17005,0.009063205
31/10/1997,17005,0.008872177
28/11/1997,17005,0.008833639
31/12/1997,17005,0.008635621
31/01/1997,17137,0.008802627
28/02/1997,17137,0.009076454
31/03/1997,17137,0.008960015
30/04/1997,17137,0.009090726
30/05/1997,17137,0.008953493
30/06/1997,17137,0.008994637
31/07/1997,17137,0.008951035
29/08/1997,17137,0.009163112
30/09/1997,17137,0.00869554
31/10/1997,17137,0.00886191
28/11/1997,17137,0.008934944
31/12/1997,17137,0.009558317
31/01/1997,17144,0.008988299
28/02/1997,17144,0.008828736
31/03/1997,17144,0.009009397
30/04/1997,17144,0.009084391
30/05/1997,17144,0.009031041
30/06/1997,17144,0.009122851
31/07/1997,17144,0.009081398
29/08/1997,17144,0.009153662
30/09/1997,17144,0.009211747
31/10/1997,17144,0.008987513
28/11/1997,17144,0.008978293
31/12/1997,17144,0.008713363
31/01/1997,17478,0.009239061
28/02/1997,17478,0.009317484
31/03/1997,17478,0.009290326
30/04/1997,17478,0.00893951
30/05/1997,17478,0.009097023
30/06/1997,17478,0.009154946
31/07/1997,17478,0.009051013
29/08/1997,17478,0.009122085
30/09/1997,17478,0.009200041
31/10/1997,17478,0.008982356
28/11/1997,17478,0.008894728
31/12/1997,17478,0.009351325
31/01/1997,17523,0.008795425
28/02/1997,17523,0.009214741
31/03/1997,17523,0.008684623
30/04/1997,17523,0.008947669
30/05/1997,17523,0.009123278
30/06/1997,17523,0.009158869
31/07/1997,17523,0.008765189
29/08/1997,17523,0.00893661
30/09/1997,17523,0.008974278
31/10/1997,17523,0.009089701
28/11/1997,17523,0.009010178
31/12/1997,17523,0.009134857
31/01/1997,17726,0.008992734
28/02/1997,17726,0.009374125
31/03/1997,17726,0.008929777
30/04/1997,17726,0.009026732
30/05/1997,17726,0.009065076
30/06/1997,17726,0.00926576
31/07/1997,17726,0.009011802
29/08/1997,17726,0.008931207
30/09/1997,17726,0.008851166
31/10/1997,17726,0.009121534
28/11/1997,17726,0.008991274
31/12/1997,17726,0.008975407
31/01/1997,17743,0.009073487
28/02/1997,17743,0.008757248
31/03/1997,17743,0.00898957
30/04/1997,17743,0.008974328
30/05/1997,17743,0.009111723
30/06/1997,17743,0.009074997
31/07/1997,17743,0.008918688
29/08/1997,17743,0.008771664
30/09/1997,17743,0.009055784
31/10/1997,17743,0.00920553
28/11/1997,17743,0.009226125
31/12/1997,17743,0.007889875
31/01/1997,17750,0.009161637
28/02/1997,17750,0.009132318
31/03/1997,17750,0.009110742
30/04/1997,17750,0.008962073
30/05/1997,17750,0.008878261
30/06/1997,17750,0.009081528
31/07/1997,17750,0.009165289
29/08/1997,17750,0.009325786
30/09/1997,17750,0.009120232
